date,World,Afghanistan,Africa,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,European Union,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,High income,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low income,Lower middle income,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North America,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oceania,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthelemy,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Martin (French part),Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Tanzania,Thailand,Timor,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,United States Virgin Islands,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
12/31/2020,1946741,2189,65052,1170,2751,,84,405,,5,48271,2823,49,337858,920,7378,2575,170,352,7559,7,1414,19674,241,44,10,,9135,3,4050,43,192681,1,3,7515,85,2,,448,15274,112,2,63,105,16499,4788,42620,9,100,,2156,138,3860,145,14,122,11888,591,1256,61,,2409,14023,7576,1327,86,1,229,185,1918,586526,391965,,,2,587,64004,71,114,64,124,2505,50443,335,6,4788,,,155,121,4803,16,81,45,164,236,894758,3111,9537,30,148738,22138,55095,12808,2264,35,3336,73604,302,3414,42,3815,2749,1667,,1322,933,1355,,635,1443,64,89,1459,44,1800,10268,324293,502,261,189,463,48,269,219,,42,340,10,55,147623,,3110,3,1,677,1,7355,165,2682,208,,2758,11296,,25,165,101,1278,,536053,,2503,2,436,1193,1497,10047,,1500,3933,9,2220,93066,9230,,28642,6842,1666,245,42,15596,57019,86,,,,5,12,,,,59,17,6214,402,3163,,76,29,27,2138,2981,,130,28033,420059,900,64,54459,204,1561,120,9706,7528,704,90,21,61,,68,,,126,4620,20642,,6,,304,18533,665,93317,352004,23,716995,168,614,,,1021,35,,611,386,360
12/31/2021,5477748,7356,228878,3212,6271,,140,1757,5,119,118176,7972,181,1258728,2429,16684,8346,717,1394,28072,260,5561,28356,597,161,106,3,19650,23,13428,2452,618817,39,61,30890,318,14,3012,1853,29958,352,11,101,181,39096,5699,129866,157,369,,7354,712,12493,8322,187,646,36331,1225,3256,189,47,4246,33669,21727,3823,175,75,1932,1299,6926,1567733,913667,14,,698,1705,120962,339,636,288,343,13800,118442,1306,100,20708,1,200,831,270,16102,24,391,149,1051,773,2040092,10434,39186,36,481080,144094,131572,24154,6088,67,8259,137247,2470,18393,89,12620,18227,5376,,2980,2468,2802,360,4570,9102,671,287,5696,69,7397,42106,1192617,915,1027,2355,31462,262,658,477,,783,863,786,185,303822,,10269,38,1986,2401,1,14844,1996,19268,3645,,11594,20885,281,51,217,274,3030,,1224880,,7964,13,1394,4975,4483,28921,,4931,7425,590,16624,202584,51373,,97058,18937,3311,617,409,58714,308860,1349,4,,28,295,39,,83,,99,57,8875,1890,12688,126,123,827,75,16635,6120,,1333,91061,1192550,5563,136,91688,14979,3337,1189,15345,11921,2893,125,737,21698,122,248,,,2825,25564,82104,,26,,3297,95899,2162,176813,819055,89,2200233,6168,1485,,,5321,32168,7,1984,3730,4997
12/31/2022,6716218,7849,258504,3596,6881,34,158,1930,12,146,130124,8710,280,1533148,17816,21559,10008,833,1536,29440,568,7118,33356,688,163,153,21,22291,39,16234,2786,693734,64,148,38106,395,15,3056,1965,49477,412,37,113,194,63149,48738,142179,160,386,1,9085,831,17583,8530,299,1258,42150,1462,7782,189,74,4384,35948,24802,4230,183,103,2853,1422,7572,2009268,1197107,28,,881,8585,158318,413,649,306,372,16903,166066,1461,110,34925,21,238,1000,411,19998,61,467,176,1286,860,2764636,11071,48495,246,530702,160612,144682,25374,8463,116,12064,184792,3463,57266,146,14122,19058,5688,13,3192,2570,2991,671,6165,10747,706,294,6437,87,9482,47754,1335821,1190,1418,2685,36853,311,743,815,17,1084,997,1040,187,331455,58,11933,65,2136,2791,8,16294,2232,19490,4082,1,12019,22990,314,2331,245,314,3155,,1550057,,9614,41,4831,23460,4628,30635,9,5708,8567,669,19688,218178,65309,,118533,25807,5535,685,907,67374,393712,1467,5,,46,409,46,2,119,29,121,77,9515,1968,17515,172,125,1711,89,20823,8834,153,1361,102568,1341776,32219,138,118497,16817,4994,1393,22306,13882,3163,125,845,33669,138,290,,12,4283,29284,101419,,36,,3630,110813,2348,215792,1082456,127,2564135,7562,1637,14,,5831,43186,7,2159,4023,5637
