Province/State,Country/Region,Lat,Long,1/1/2023,1/2/2023,1/3/2023,1/4/2023,1/5/2023,1/6/2023,1/7/2023,1/8/2023,1/9/2023,1/10/2023,1/11/2023,1/12/2023,1/13/2023,1/14/2023,1/15/2023,1/16/2023,1/17/2023,1/18/2023,1/19/2023,1/20/2023,1/21/2023,1/22/2023,1/23/2023,1/24/2023,1/25/2023,1/26/2023,1/27/2023,1/28/2023,1/29/2023,1/30/2023,1/31/2023,2/1/2023,2/2/2023,2/3/2023,2/4/2023,2/5/2023,2/6/2023,2/7/2023,2/8/2023,2/9/2023,2/10/2023,2/11/2023,2/12/2023,2/13/2023,2/14/2023,2/15/2023,2/16/2023,2/17/2023,2/18/2023,2/19/2023,2/20/2023,2/21/2023,2/22/2023,2/23/2023,2/24/2023,2/25/2023,2/26/2023,2/27/2023,2/28/2023,3/1/2023,3/2/2023,3/3/2023,3/4/2023,3/5/2023,3/6/2023,3/7/2023,3/8/2023,3/9/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New South Wales,Australia,-33.8688,151.2093,5804,5804,5804,5804,5881,5881,5881,5881,5881,5881,5881,5993,5993,5993,5993,5993,5993,5993,6124,6124,6124,6124,6124,6124,6124,6218,6218,6218,6218,6218,6218,6218,6304,6304,6304,6304,6304,6304,6304,6366,6366,6366,6366,6366,6366,6366,6417,6417,6417,6417,6417,6417,6417,6464,6464,6464,6464,6464,6464,6464,6493,6493,6493,6493,6493,6493,6493,6529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Territory,Australia,-12.4634,130.8456,84,84,84,84,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensland,Australia,-27.4698,153.0251,2405,2405,2405,2405,2449,2449,2449,2449,2449,2449,2449,2526,2526,2526,2526,2526,2526,2526,2526,2574,2574,2574,2574,2574,2574,2643,2643,2643,2643,2643,2643,2643,2677,2677,2677,2677,2677,2677,2677,2710,2710,2710,2710,2710,2710,2710,2734,2734,2734,2734,2734,2734,2734,2760,2760,2760,2760,2760,2760,2760,2783,2783,2783,2783,2783,2783,2783,2783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Australia,Australia,-34.9285,138.6007,1155,1155,1155,1155,1170,1170,1170,1170,1170,1170,1170,1203,1203,1203,1203,1203,1203,1203,1224,1224,1224,1224,1224,1224,1224,1235,1235,1235,1235,1235,1235,1235,1244,1244,1244,1244,1244,1244,1244,1333,1333,1333,1333,1333,1333,1333,1333,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasmania,Australia,-42.8821,147.3272,224,224,224,224,229,229,229,229,229,229,229,229,237,237,237,237,237,237,240,240,240,240,240,240,240,244,244,244,244,244,244,244,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,250,250,250,250,250,250,250,252,252,252,252,252,252,252,253,253,253,253,253,253,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,Australia,-37.8136,144.9631,6405,6405,6435,6465,6490,6490,6490,6506,6535,6566,6597,6639,6638,6638,6638,6638,6638,6638,6794,6794,6794,6794,6794,6794,6794,7116,7116,7116,7116,7116,7116,7116,7186,7181,7181,7181,7181,7181,7181,7232,7232,7232,7232,7232,7232,7232,7286,7286,7286,7286,7286,7286,7286,7317,7317,7317,7317,7317,7317,7317,7338,7338,7338,7338,7338,7338,7338,7370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Australia,-31.9505,115.8605,837,837,837,837,837,856,856,856,856,856,856,856,880,880,880,880,880,880,880,901,901,901,901,901,901,901,920,920,920,920,920,920,931,931,931,931,931,931,931,931,938,938,938,938,938,938,938,942,942,942,942,942,942,944,944,944,944,944,944,944,952,952,952,952,952,952,952,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Austria,47.5162,14.5501,21443,21444,21448,21466,21473,21482,21484,21487,21490,21517,21536,21546,21558,21564,21564,21565,21576,21589,21595,21609,21613,21626,21626,21640,21646,21649,21658,21661,21661,21662,21689,21696,21709,21736,21755,21755,21755,21765,21768,21773,21773,21781,21788,21789,21795,21796,21799,21807,21820,21820,21820,21825,21848,21853,21858,21872,21872,21872,21887,21891,21899,21907,21921,21922,21923,21941,21949,21970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Azerbaijan,40.1431,47.5769,10008,10008,10008,10008,10009,10013,10017,10020,10023,10027,10033,10037,10042,10045,10049,10050,10054,10060,10064,10067,10068,10068,10068,10075,10077,10077,10080,10081,10081,10081,10085,10087,10092,10094,10095,10096,10096,10096,10097,10097,10098,10098,10098,10099,10099,10099,10101,10102,10103,10103,10103,10105,10108,10111,10114,10116,10117,10117,10119,10119,10122,10126,10127,10129,10129,10135,10138,10138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bahamas,25.025885,-78.035889,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
