Province/State,Country name,Lat,Long,12/31/2020
,Afghanistan,33.93911,67.709953,2189
,Albania,41.1533,20.1683,1181
,Algeria,28.0339,1.6596,2756
,Andorra,42.5063,1.5218,84
,Angola,-11.2027,17.8739,405
,Antarctica,-71.9499,23.347,0
,Antigua and Barbuda,17.0608,-61.7964,5
,Argentina,-38.4161,-63.6167,43245
,Armenia,40.0691,45.0382,2823
Australian Capital Territory,Australia,-35.4735,149.0124,3
New South Wales,Australia,-33.8688,151.2093,54
Northern Territory,Australia,-12.4634,130.8456,0
Queensland,Australia,-27.4698,153.0251,6
South Australia,Australia,-34.9285,138.6007,4
Tasmania,Australia,-42.8821,147.3272,13
Victoria,Australia,-37.8136,144.9631,820
Western Australia,Australia,-31.9505,115.8605,9
,Austria,47.5162,14.5501,7486
,Azerbaijan,40.1431,47.5769,2641
,Bahamas,25.025885,-78.035889,170
,Bahrain,26.0275,50.55,352
,Bangladesh,23.685,90.3563,7559
,Barbados,13.1939,-59.5432,7
,Belarus,53.7098,27.9534,1424
,Belgium,50.8333,4.469936,19528
,Belize,17.1899,-88.4976,248
,Benin,9.3077,2.3158,44
,Bhutan,27.5142,90.4336,0
,Bolivia,-16.2902,-63.5887,9165
,Bosnia and Herzegovina,43.9159,17.6791,4050
,Botswana,-22.3285,24.6849,42
,Brazil,-14.235,-51.9253,195072
,Brunei,4.5353,114.7277,3
,Bulgaria,42.7339,25.4858,7576
,Burkina Faso,12.2383,-1.5616,85
,Burma,21.9162,95.956,2682
,Burundi,-3.3731,29.9189,2
,Cabo Verde,16.5388,-23.0418,113
,Cambodia,11.55,104.9167,0
,Cameroon,3.848,11.5021,448
Alberta,Canada,53.9333,-116.5765,1046
British Columbia,Canada,53.7267,-127.6476,901
Diamond Princess,Canada,0,0,1
Grand Princess,Canada,0,0,0
Manitoba,Canada,53.7609,-98.8139,667
New Brunswick,Canada,46.5653,-66.4619,9
Newfoundland and Labrador,Canada,53.1355,-57.6604,4
Northwest Territories,Canada,64.8255,-124.8457,0
Nova Scotia,Canada,44.682,-63.7443,65
Nunavut,Canada,70.2998,-83.1076,1
Ontario,Canada,51.2538,-85.3232,4530
Prince Edward Island,Canada,46.5107,-63.4168,0
Quebec,Canada,52.9399,-73.5491,8356
Repatriated Travellers,Canada,,,0
Saskatchewan,Canada,52.9399,-106.4509,155
Yukon,Canada,64.2823,-135,1
,Central African Republic,6.6111,20.9394,63
,Chad,15.4542,18.7322,104
,Chile,-35.6751,-71.543,16608
Anhui,China,31.8257,117.2264,6
Beijing,China,40.1824,116.4142,9
Chongqing,China,30.0572,107.874,6
Fujian,China,26.0789,117.9874,1
Gansu,China,35.7518,104.2861,2
Guangdong,China,23.3417,113.4244,8
Guangxi,China,23.8298,108.7881,2
Guizhou,China,26.8154,106.8748,2
Hainan,China,19.1959,109.7453,6
Hebei,China,39.549,116.1306,6
Heilongjiang,China,47.862,127.7615,13
